,provider,A_family,A_vcpu,B_family,B_vcpu,C_family,C_type,C_vcpu,nodes,workload,target_cost,target_runtime,status
64,C,,,,,1,2,1,2,santander-poisson_regression,0.0867097859780258,598.9164035320282,Timed out.
65,A,1,1,,,,,,2,santander-poisson_regression,0.0218908938667774,598.8390419483185,Timed out.
66,C,,,,,0,0,0,5,creditcard-spectral_clustering,0.0068854972932835,67.20290160179138,ok
67,B,,,1,0,,,,3,santander-logistic_regression,0.0433056625493367,220.19828414916992,ok
68,C,,,,,0,0,1,3,santander-quantile_transformer,0.0074225695772647,60.37063503265381,ok
69,C,,,,,1,0,1,5,santander-linear_regression,0.0181577265120877,62.49313139915466,ok
70,A,0,0,,,,,,3,creditcard-xgboost,0.0005875982635021,22.455984592437744,ok
71,C,,,,,0,0,0,2,santander-spectral_clustering,0.0007785212390939,18.996044874191284,"Input contains NaN, infinity or a value too 0 for dtype('float64')."
72,C,,,,,0,2,0,3,santander-logistic_regression,0.0217790889131581,262.625426530838,ok
73,B,,,1,1,,,,2,creditcard-kmeans,0.004886343433592,18.634360551834103,ok
74,B,,,0,0,,,,3,santander-polynomial_features,0.006629825118184,31.199177026748657,"(""('array-342236d92d133afb203593dc1d57c1b2', 9, 0)"", <Worker 'tcp://10.244.2.3:44153', name: tcp://10.244.2.3:44153, memory: 0, processing: 12>)"
75,A,1,1,,,,,,5,santander-xgboost,0.0050759835519393,55.54267716407776,ok
76,C,,,,,0,0,0,4,creditcard-kmeans,0.0010258114348808,12.51498293876648,ok
77,A,1,0,,,,,,5,creditcard-poisson_regression,0.0019271665695309,42.175073862075806,ok
78,C,,,,,0,0,1,2,santander-standard_scaler,0.0011502587717453,14.03325057029724,ok
79,C,,,,,0,1,0,3,creditcard-naive_bayes,0.0003334064425063,7.346181392669678,ok
80,C,,,,,0,2,0,4,buzz-xgboost,0.0042814167125135,38.72093415260315,ok
81,A,2,1,,,,,,3,creditcard-naive_bayes,0.0002175874787171,4.36630392074585,ok
82,C,,,,,1,0,0,4,creditcard-quantile_transformer,0.0013355779076682,11.49158811569214,ok
83,C,,,,,1,0,1,5,santander-naive_bayes,0.0047550248673227,16.365286350250244,ok
84,C,,,,,0,2,1,5,santander-xgboost,0.0160782450571113,58.16436100006104,ok
85,C,,,,,0,0,0,4,creditcard-logistic_regression,0.0030828973954518,37.61159896850586,ok
86,C,,,,,1,1,0,5,santander-logistic_regression,0.0164624517117275,151.76652026176453,ok
87,A,1,0,,,,,,3,buzz-spectral_clustering,0.0001749466205239,6.38103175163269,"Input contains NaN, infinity or a value too 0 for dtype('float64')."
88,C,,,,,1,1,1,4,santander-poisson_regression,0.0537898954985406,309.9289753437042,ok
89,A,0,1,,,,,,3,buzz-linear_regression,0.0140989654258886,269.4069826602936,ok
90,C,,,,,0,2,0,5,creditcard-kmeans,0.0019288717559165,13.955701351165771,ok
91,C,,,,,1,0,0,3,buzz-linear_regression,0.0400662976859807,459.6515986919403,ok
92,A,2,0,,,,,,4,santander-naive_bayes,0.0006866600487232,20.668697118759155,ok
93,C,,,,,1,1,1,2,santander-polynomial_features,0.0104365626027849,120.26768684387208,"(""('transform-b82d90c248e4c3b0456054d39e5a1b0a', 8, 0)"", <Worker 'tcp://10.0.79.2:43791', name: tcp://10.0.79.2:43791, memory: 0, processing: 16>)"
94,C,,,,,0,1,0,3,santander-spectral_clustering,0.0010801523503386,23.79976534843445,"Input contains NaN, infinity or a value too 0 for dtype('float64')."
95,A,0,1,,,,,,5,creditcard-xgboost,0.0011677214214536,13.38788890838623,ok
96,C,,,,,0,2,1,4,buzz-kmeans,0.0057787733415169,26.131479024887085,ok
97,C,,,,,1,1,1,4,santander-kmeans,0.015720392211861,90.57844424247742,ok
98,B,,,0,0,,,,4,creditcard-logistic_regression,0.0079587348858515,28.08965253829956,ok
99,C,,,,,0,0,1,4,buzz-spectral_clustering,0.0011901681147098,7.260073900222778,"Input contains NaN, infinity or a value too 0 for dtype('float64')."
100,A,1,0,,,,,,4,creditcard-poisson_regression,0.0020259908611774,55.4222424030304,ok
101,C,,,,,1,2,1,2,creditcard-quantile_transformer,0.0025914309366808,17.899369478225708,ok
102,A,2,1,,,,,,5,creditcard-polynomial_features,0.0010104876024855,12.16640591621399,ok
103,C,,,,,1,0,0,3,creditcard-standard_scaler,0.0006854632534583,7.863823175430298,ok
104,C,,,,,1,1,0,3,creditcard-spectral_clustering,0.0067212397484381,103.2712893486023,ok
105,C,,,,,1,1,1,2,creditcard-kmeans,0.0019085125864611,21.99310278892517,ok
106,A,0,0,,,,,,3,santander-kmeans,0.0034310343627532,131.12233233451843,ok
107,B,,,0,1,,,,2,santander-kmeans,0.0319028801679611,112.59840059280396,ok
108,C,,,,,0,0,1,4,santander-polynomial_features,0.0057626603105386,35.15246224403381,in <closed TCP>: Stream is closed
109,B,,,1,0,,,,3,creditcard-poisson_regression,0.015557631342411,79.10660004615784,ok
110,B,,,0,0,,,,3,creditcard-quantile_transformer,0.0030643565118312,14.420501232147217,ok
111,A,1,1,,,,,,2,santander-xgboost,0.004082711473306,111.68511629104614,ok
112,C,,,,,0,0,0,2,santander-standard_scaler,0.0007455749815662,18.19215083122253,ok
113,A,1,0,,,,,,4,creditcard-kmeans,0.0006035983814133,16.511809825897217,ok
114,B,,,0,0,,,,2,creditcard-poisson_regression,0.0107199476500352,75.67021870613098,ok
115,C,,,,,0,0,0,2,santander-polynomial_features,0.0039378173460125,96.08338379859924,"('transform-b82d90c248e4c3b0456054d39e5a1b0a', 2, 0)"
116,C,,,,,0,1,0,2,buzz-logistic_regression,0.0117318552275307,387.7444715499878,ok
117,C,,,,,1,1,0,2,santander-standard_scaler,0.0009111007811625,20.998481512069706,ok
118,A,0,0,,,,,,5,creditcard-quantile_transformer,0.0004212416423029,9.659044027328491,ok
119,C,,,,,0,2,0,4,creditcard-quantile_transformer,0.0015787455412472,14.278101444244385,ok
120,A,2,0,,,,,,3,santander-poisson_regression,0.0113776836672027,456.6294448375702,ok
121,A,1,0,,,,,,4,creditcard-linear_regression,0.0019309192887941,52.82150030136109,ok
122,C,,,,,1,2,0,2,buzz-polynomial_features,0.0047060308161841,65.01040267944336,ok
123,A,2,0,,,,,,4,buzz-spectral_clustering,0.0001533992568916,4.617368936538696,"Input contains NaN, infinity or a value too 0 for dtype('float64')."
124,C,,,,,1,1,1,4,buzz-poisson_regression,0.0098611317892604,56.81830096244812,ok
125,A,1,0,,,,,,3,santander-kmeans,0.0026551160067915,96.84313702583312,ok
126,A,1,0,,,,,,5,creditcard-standard_scaler,0.0001965941596362,4.3023645877838135,ok
127,C,,,,,0,0,0,4,santander-quantile_transformer,0.0059563254345655,72.66765475273132,ok
128,C,,,,,1,2,1,2,santander-polynomial_features,0.0705504024013678,487.30132126808167,ok
129,A,2,0,,,,,,5,santander-spectral_clustering,0.0008538798909385,20.56165623664856,"Input contains NaN, infinity or a value too 0 for dtype('float64')."
130,A,2,1,,,,,,5,creditcard-linear_regression,0.0026618284921513,32.048771142959595,ok
131,C,,,,,0,1,0,3,buzz-naive_bayes,0.0003602481877553,7.937604665756226,ok
132,C,,,,,0,2,1,5,creditcard-polynomial_features,0.0072254984122051,26.138828992843628,ok
133,A,0,1,,,,,,5,santander-logistic_regression,0.0073662193270524,84.45346999168396,ok
134,C,,,,,0,2,1,4,creditcard-naive_bayes,0.0011663449785391,5.274184942245483,ok
135,C,,,,,0,2,0,2,santander-polynomial_features,0.0331086974408038,598.8670477867126,Timed out.
136,A,1,1,,,,,,4,santander-naive_bayes,0.0016624548929002,22.738744735717773,ok
137,C,,,,,0,2,1,3,buzz-linear_regression,0.0637977366093047,384.6558470726013,ok
138,A,1,1,,,,,,4,buzz-logistic_regression,0.0079168505654864,108.28519010543825,ok
139,A,2,0,,,,,,3,creditcard-poisson_regression,0.0016015606335798,64.2766809463501,ok
140,A,2,1,,,,,,4,buzz-xgboost,0.0015965354356765,24.02812528610229,ok
141,C,,,,,0,1,1,2,creditcard-naive_bayes,0.0003145511605421,5.198047161102295,ok
142,A,0,0,,,,,,4,santander-kmeans,0.0034349834733539,98.45494031906128,ok
143,A,1,1,,,,,,4,creditcard-kmeans,0.0008472229423522,11.58815574645996,ok
144,B,,,0,0,,,,3,buzz-poisson_regression,0.011457817980647,53.91914343833923,ok
145,C,,,,,1,1,1,5,creditcard-poisson_regression,0.0079247993099027,36.5291645526886,ok
146,C,,,,,0,2,0,4,buzz-linear_regression,0.0344961170225037,311.9812822341919,ok
147,C,,,,,1,2,1,3,santander-xgboost,0.0161591569161017,74.40901112556458,ok
148,C,,,,,1,2,0,4,buzz-polynomial_features,0.0109554925466113,75.67109203338623,ok
149,C,,,,,0,2,1,4,santander-polynomial_features,0.1046903646923616,473.4074010848999,ok
150,C,,,,,1,0,0,5,buzz-polynomial_features,0.0107036592422591,73.67719554901123,ok
151,C,,,,,1,2,1,4,santander-standard_scaler,0.0067030652668741,23.14949631690979,ok
152,C,,,,,0,0,1,4,buzz-poisson_regression,0.0084639201912085,51.63025736808777,ok
153,A,2,0,,,,,,5,creditcard-kmeans,0.0004090379932853,9.849744319915771,ok
154,C,,,,,1,2,1,3,santander-xgboost,0.016751205766201,77.13525295257568,ok
155,C,,,,,1,0,0,5,creditcard-naive_bayes,0.0006128636082013,4.218564033508301,ok
156,C,,,,,1,1,1,5,santander-quantile_transformer,0.0142007712597979,65.45810055732727,ok
157,B,,,1,0,,,,4,santander-kmeans,0.0286471669080522,109.2476704120636,ok
158,C,,,,,1,1,1,2,santander-linear_regression,0.0150670306710137,173.62775421142578,ok
159,C,,,,,0,2,1,3,buzz-poisson_regression,0.0109160792736268,65.81634306907654,ok
160,B,,,0,0,,,,2,creditcard-logistic_regression,0.0072316125909487,51.04667711257935,ok
161,C,,,,,0,0,0,4,santander-kmeans,0.008641675260957,105.4291410446167,ok
162,C,,,,,1,0,1,4,santander-standard_scaler,0.0051527107303407,22.16749358177185,ok
163,C,,,,,0,0,1,5,buzz-standard_scaler,0.0014303385147452,6.980098485946655,ok
164,C,,,,,0,2,0,5,santander-linear_regression,0.0156411393298698,113.16619086265564,ok
165,B,,,1,0,,,,3,santander-quantile_transformer,0.015684033220609,79.74932146072388,ok
166,A,0,0,,,,,,3,santander-standard_scaler,0.0004804163975715,18.359862327575684,ok
167,A,1,1,,,,,,2,buzz-kmeans,0.0012440486200385,34.03172516822815,ok
168,C,,,,,1,1,0,2,buzz-spectral_clustering,0.000319891625603,7.372662305831909,"Input contains NaN, infinity or a value too 0 for dtype('float64')."
169,C,,,,,1,1,1,3,santander-polynomial_features,0.0085841949863831,65.9477207660675,"(""('transform-b82d90c248e4c3b0456054d39e5a1b0a', 0, 0)"", <Worker 'tcp://10.0.81.2:33537', name: tcp://10.0.81.2:33537, memory: 0, processing: 16>)"
170,C,,,,,1,2,1,2,santander-naive_bayes,0.0021806378545496,15.061965227127075,ok
171,C,,,,,1,2,0,5,santander-linear_regression,0.0220192246819204,121.67184782028198,ok
172,C,,,,,1,0,1,5,santander-spectral_clustering,0.0045747861744297,15.744961977005005,"Input contains NaN, infinity or a value too 0 for dtype('float64')."
173,A,2,0,,,,,,3,santander-spectral_clustering,0.000207335744222,8.3211669921875,"Input contains NaN, infinity or a value too 0 for dtype('float64')."
174,C,,,,,1,0,1,2,santander-logistic_regression,0.0422218679846127,363.2856709957123,ok
175,C,,,,,1,1,1,2,buzz-naive_bayes,0.0006410430308712,7.387179613113403,ok
176,B,,,1,0,,,,5,santander-xgboost,0.037934043027295,115.7309787273407,ok
177,B,,,1,0,,,,2,creditcard-quantile_transformer,0.002826925473743,21.561295986175537,ok
178,C,,,,,1,2,1,4,creditcard-standard_scaler,0.0019630005388789,6.779357194900513,ok
179,A,1,1,,,,,,2,santander-linear_regression,0.0054549091434213,149.22243857383728,ok
180,C,,,,,0,0,0,5,creditcard-linear_regression,0.0055937315452297,54.59518384933472,ok
181,A,1,0,,,,,,5,santander-xgboost,0.0034082192579242,74.58716917037964,ok
182,B,,,0,0,,,,5,buzz-kmeans,0.0095791143973668,27.046911239624023,ok
183,C,,,,,0,1,1,5,santander-kmeans,0.0120355993010719,79.5566771030426,ok
184,C,,,,,1,0,1,5,creditcard-logistic_regression,0.0086360208992163,29.722442865371704,ok
185,C,,,,,1,1,1,5,buzz-logistic_regression,0.0370332788057459,170.70397400856018,ok
186,C,,,,,0,2,0,2,santander-spectral_clustering,0.0014322803869533,25.906954765319824,"Input contains NaN, infinity or a value too 0 for dtype('float64')."
187,C,,,,,0,2,0,2,santander-linear_regression,0.01365889578942,247.0608398914337,ok
188,C,,,,,0,0,1,2,creditcard-xgboost,0.0012658293946107,15.44322156906128,ok
189,B,,,1,0,,,,4,creditcard-standard_scaler,0.0023883962832556,9.108290910720823,ok
190,C,,,,,0,1,1,2,buzz-xgboost,0.0021202471499204,35.03768563270569,ok
191,C,,,,,0,2,1,2,creditcard-poisson_regression,0.0136811523596525,123.73170733451845,ok
192,C,,,,,1,2,0,4,santander-logistic_regression,0.0250731308456261,173.18355917930603,ok
193,C,,,,,0,0,1,5,santander-xgboost,0.0114270216968655,55.76423764228821,ok
194,A,1,0,,,,,,5,buzz-kmeans,0.0016144677014152,35.33181595802307,ok
195,A,1,1,,,,,,2,creditcard-standard_scaler,0.000180519080109,4.938211917877197,ok
196,A,1,1,,,,,,2,creditcard-poisson_regression,0.0036164842118157,98.93117904663086,ok
197,A,0,1,,,,,,2,buzz-spectral_clustering,0.0001901635612381,5.450547933578491,"Input contains NaN, infinity or a value too 0 for dtype('float64')."
198,C,,,,,1,0,0,3,santander-kmeans,0.0522039955565929,598.8986105918884,Timed out.
199,B,,,1,1,,,,2,creditcard-standard_scaler,0.0021311970594194,8.127446413040161,ok
200,C,,,,,1,0,1,5,santander-standard_scaler,0.0062810100644164,21.61724305152893,ok
201,B,,,1,0,,,,5,santander-poisson_regression,0.1104672123842769,337.0186140537262,ok
202,C,,,,,0,1,0,4,santander-quantile_transformer,0.0053163070845254,87.85348272323608,ok
203,B,,,1,0,,,,4,santander-logistic_regression,0.053095384185579,202.48239731788635,ok
204,A,2,0,,,,,,3,creditcard-quantile_transformer,0.0003681629464427,14.775770425796509,ok
205,A,0,0,,,,,,4,creditcard-spectral_clustering,0.0026005209197998,74.53722381591797,ok
206,C,,,,,0,1,0,3,buzz-standard_scaler,0.0004308016420328,9.492159128189089,ok
207,C,,,,,0,1,1,5,creditcard-standard_scaler,0.0012165628650228,8.041618585586548,ok
208,A,0,1,,,,,,4,buzz-quantile_transformer,0.0009033720652262,12.946414947509766,ok
209,C,,,,,0,1,1,2,creditcard-logistic_regression,0.0048297017330503,79.81219124794006,ok
210,C,,,,,1,2,0,5,creditcard-quantile_transformer,0.0026208249431186,14.481918334960938,ok
211,C,,,,,1,0,1,4,creditcard-xgboost,0.0031989747809304,13.762319803237917,ok
212,C,,,,,1,1,0,4,creditcard-spectral_clustering,0.0064537451708051,74.37094306945801,ok
213,A,1,1,,,,,,2,buzz-standard_scaler,0.0001437009171115,3.931028127670288,ok
214,A,2,0,,,,,,3,creditcard-standard_scaler,0.000238965260903,9.59057903289795,ok
215,A,1,1,,,,,,3,santander-logistic_regression,0.0083119450612862,151.58562421798706,ok
216,A,1,0,,,,,,2,creditcard-poisson_regression,0.0022426005018684,122.69546818733215,ok
217,C,,,,,1,0,0,3,santander-logistic_regression,0.052202675432682,598.8834657669067,Timed out.
218,A,0,0,,,,,,5,santander-quantile_transformer,0.0017244184966882,39.54080629348755,ok
219,A,1,1,,,,,,5,santander-spectral_clustering,0.0006624591712819,7.248793363571167,"Input contains NaN, infinity or a value too 0 for dtype('float64')."
220,C,,,,,0,1,0,4,buzz-kmeans,0.0024881102422634,41.11672759056091,ok
221,C,,,,,1,0,0,2,creditcard-naive_bayes,0.0004726237706343,8.133105039596558,ok
222,A,0,0,,,,,,2,creditcard-logistic_regression,0.0015188455162048,87.06757736206055,ok
223,C,,,,,0,2,0,5,buzz-logistic_regression,0.0175394351104338,126.9006700515747,ok
224,C,,,,,0,2,0,5,creditcard-xgboost,0.0022105042901674,15.993358612060549,ok
225,A,1,1,,,,,,5,santander-xgboost,0.005835829766194,63.85710382461548,ok
226,A,1,1,,,,,,4,creditcard-standard_scaler,0.0005952520648108,8.141745567321777,ok
227,C,,,,,1,2,1,2,creditcard-kmeans,0.0025802944527202,17.822448253631592,ok
228,A,2,0,,,,,,5,creditcard-poisson_regression,0.0015580122213893,37.517351150512695,ok
229,C,,,,,0,1,0,5,buzz-linear_regression,0.0207696149226784,274.5790228843689,ok
230,C,,,,,0,0,1,5,creditcard-spectral_clustering,0.013249717677315,64.65905332565308,ok
231,C,,,,,1,2,0,4,santander-spectral_clustering,0.0024797872284783,17.128231048583984,"Input contains NaN, infinity or a value too 0 for dtype('float64')."
232,B,,,1,0,,,,4,creditcard-naive_bayes,0.001621436682807,6.183444976806641,ok
233,C,,,,,0,2,1,2,santander-standard_scaler,0.0019619545201423,17.743825674057007,ok
234,C,,,,,0,0,1,2,buzz-quantile_transformer,0.002464833047533,30.0711636543274,ok
235,C,,,,,0,2,0,2,creditcard-naive_bayes,0.000320970101206,5.80567741394043,ok
236,A,1,0,,,,,,2,buzz-quantile_transformer,0.0005848976262013,32.0004780292511,ok
237,B,,,1,1,,,,2,buzz-linear_regression,0.1463867753569285,558.2546517848969,ok
238,A,1,0,,,,,,5,buzz-logistic_regression,0.0050244437910119,109.95743250846864,ok
239,A,2,0,,,,,,2,buzz-spectral_clustering,0.0001528198744985,9.199858665466309,"Input contains NaN, infinity or a value too 0 for dtype('float64')."
240,C,,,,,1,2,1,2,buzz-kmeans,0.0053663280002805,37.065964698791504,ok
241,C,,,,,0,0,1,2,creditcard-spectral_clustering,0.0092574044317166,112.94108700752258,ok
242,C,,,,,0,0,0,5,buzz-poisson_regression,0.0092361857984264,90.14577436447144,ok
243,C,,,,,0,1,1,2,santander-standard_scaler,0.001402396800092,23.175004959106445,ok
244,C,,,,,0,0,0,5,santander-standard_scaler,0.0022911614745457,22.36188507080078,ok
245,A,0,0,,,,,,4,buzz-linear_regression,0.0093755889398256,268.7270715236664,ok
246,A,0,0,,,,,,4,buzz-spectral_clustering,0.0002802088086869,8.031462669372559,"Input contains NaN, infinity or a value too 0 for dtype('float64')."
247,C,,,,,1,1,1,5,santander-naive_bayes,0.0046599612915515,21.47997522354126,ok
248,C,,,,,0,0,1,5,creditcard-xgboost,0.0028758849066495,14.034411907196043,ok
249,B,,,0,0,,,,5,buzz-logistic_regression,0.0279194544752438,78.83140087127686,ok
250,C,,,,,0,2,1,3,santander-spectral_clustering,0.0019992521399609,12.05409574508667,"Input contains NaN, infinity or a value too 0 for dtype('float64')."
251,C,,,,,0,1,1,3,santander-logistic_regression,0.0149916185462188,165.1604995727539,ok
252,C,,,,,0,1,0,5,santander-quantile_transformer,0.0054105449873407,71.52863264083862,ok
253,B,,,1,0,,,,3,buzz-linear_regression,0.0808036283675829,410.8659069538117,ok
254,C,,,,,1,2,1,5,buzz-logistic_regression,0.0535221962760554,147.87406492233276,ok
255,C,,,,,0,2,1,3,santander-linear_regression,0.0186843691260798,112.65371179580688,ok
256,C,,,,,1,2,0,4,creditcard-naive_bayes,0.0007370669574472,5.091022729873657,ok
257,A,1,0,,,,,,4,buzz-quantile_transformer,0.0006087708877987,16.65330696105957,ok
258,C,,,,,1,2,0,2,creditcard-poisson_regression,0.0103337562204864,142.75334763526917,ok
259,C,,,,,0,2,0,5,santander-logistic_regression,0.018498837553313,133.84210300445557,ok
260,A,0,1,,,,,,3,buzz-poisson_regression,0.0028894422309398,55.21227192878723,ok
261,A,0,0,,,,,,5,creditcard-polynomial_features,0.0009364892464876,21.47363877296448,ok
262,A,2,1,,,,,,5,buzz-poisson_regression,0.0031480924348698,37.90345406532288,ok
263,C,,,,,0,1,0,2,creditcard-kmeans,0.0006840212242325,22.6072895526886,ok
264,C,,,,,0,0,0,5,santander-quantile_transformer,0.0059580400093694,58.15085816383362,ok
265,A,2,1,,,,,,3,buzz-polynomial_features,0.0012805262254079,25.696178436279297,ok
266,C,,,,,1,2,0,4,creditcard-spectral_clustering,0.0098664329808023,68.14880800247192,ok
267,B,,,0,0,,,,4,creditcard-xgboost,0.0039631012082099,13.98741602897644,ok
268,C,,,,,0,0,1,5,santander-poisson_regression,0.0440167743487755,214.8032908439636,ok
269,A,1,1,,,,,,4,buzz-quantile_transformer,0.0009432382054858,12.901434421539308,ok
270,C,,,,,1,1,0,2,creditcard-xgboost,0.0015533789505826,35.80130743980408,ok
271,A,0,1,,,,,,4,santander-quantile_transformer,0.0038230849637985,54.78943419456482,ok
272,C,,,,,0,1,0,5,creditcard-poisson_regression,0.0034349817062854,45.411237716674805,ok
